dataset,r,mean,std
iris,2,83.55999999999995,0.31739681904634437
wine,2,98.05617977528077,0.28140913818091573
seeds,2,90.47619047619062,1.4282446375932695e-14
breast_cancer,2,63.0931458699472,7.141223187966347e-15
mnist,2,54.878000000000014,3.4378340609027416
iris,4,84.66666666666677,2.856489275186539e-14
wine,4,97.75280898876389,1.4282446375932695e-14
seeds,4,92.67619047619051,0.23230082438788993
breast_cancer,4,90.42882249560638,0.08803308716380155
mnist,4,54.69499999999998,3.0923618837713693
iris,6,84.66666666666677,2.856489275186539e-14
wine,6,97.75280898876389,1.4282446375932695e-14
seeds,6,92.6571428571429,0.23621188749945898
breast_cancer,6,89.10369068541314,0.0
mnist,6,54.578,2.732671021014221
iris,8,84.66666666666677,2.856489275186539e-14
wine,8,97.75280898876389,1.4282446375932695e-14
seeds,8,92.60952380952382,0.23910320550889713
breast_cancer,8,89.28119507908609,0.18440108097527694
mnist,8,54.83699999999999,3.3319134854836
iris,10,84.66666666666677,2.856489275186539e-14
wine,10,97.42696629213464,0.2786769459263231
seeds,10,92.60476190476192,0.23886359906980836
breast_cancer,10,88.04920913884031,1.4282446375932695e-14
mnist,10,54.22549999999998,2.831661672637257
iris,12,84.66666666666677,2.856489275186539e-14
wine,12,97.46067415730316,0.28208805144307597
seeds,12,92.79047619047617,0.41733437875616264
breast_cancer,12,88.04920913884031,1.4282446375932695e-14
mnist,12,54.333999999999996,2.5094657164062197
iris,14,84.66666666666677,2.856489275186539e-14
wine,14,97.42134831460655,0.27770284855264454
seeds,14,92.92380952380951,0.4005310385052122
breast_cancer,14,87.31107205623891,0.423917531919525
mnist,14,54.549500000000016,2.9184669335841793
iris,16,84.94000000000001,0.3295407136158022
wine,16,97.41573033707846,0.2766100920883865
seeds,16,92.89999999999998,0.4285714285714269
breast_cancer,16,87.23022847100175,0.40449954800939175
mnist,16,54.841000000000015,3.0402134760240074
iris,18,84.81333333333336,0.2775554665954804
wine,18,97.35393258426946,0.2562067536921718
seeds,18,92.8142857142857,0.4066320714603273
breast_cancer,18,86.6994727592268,0.11414328870101721
mnist,18,54.17649999999999,3.725712290382481
iris,20,84.91999999999999,0.3252211541430376
wine,20,97.35955056179755,0.2587450485796829
seeds,20,92.82380952380947,0.42405832799244736
breast_cancer,20,86.65202108963092,0.15872356223918793
mnist,20,54.58199999999999,2.698442498774417
