experiment,dataset,time
biclique_5,CIFAR_raw,7.125442456826567
biclique_5,CIFAR_vae,7.589418735262006
biclique_5,CIFAR_simclr,5.258848338760435
biclique_5,CIFAR_simclr_pca,5.771392108360305
biclique_5,FMNIST_raw,2.9569713524077086
biclique_5,FMNIST_vae,4.687870915886014
biclique_5,FMNIST_simclr,5.097693629283458
biclique_5,FMNIST_simclr_pca,5.003578182123602
biclique_5,MNIST_raw,12.755957638472319
biclique_5,MNIST_vae,2.2550924198701976
biclique_5,MNIST_simclr,4.316788970166817
biclique_5,MNIST_simclr_pca,7.612631730968133
biclique_10,CIFAR_raw,2.285474721947685
biclique_10,CIFAR_vae,2.814799928152934
biclique_10,CIFAR_simclr,2.8574297568295153
biclique_10,CIFAR_simclr_pca,2.8014626520685852
biclique_10,FMNIST_raw,2.301777375023812
biclique_10,FMNIST_vae,3.087878229562193
biclique_10,FMNIST_simclr,3.0029935446567833
biclique_10,FMNIST_simclr_pca,3.092644862039015
biclique_10,MNIST_raw,2.87186352503486
biclique_10,MNIST_vae,2.3857406598515807
biclique_10,MNIST_simclr,4.4032000254374
biclique_10,MNIST_simclr_pca,3.8167377147357913
biclique_15,CIFAR_raw,2.9128545857965946
biclique_15,CIFAR_vae,3.098358542844653
biclique_15,CIFAR_simclr,3.7420879923272876
biclique_15,CIFAR_simclr_pca,3.184776255348697
biclique_15,FMNIST_raw,4.249381797434762
biclique_15,FMNIST_vae,8.05964333130978
biclique_15,FMNIST_simclr,8.556071339547634
biclique_15,FMNIST_simclr_pca,12.1358860288281
biclique_15,MNIST_raw,11.424684676667676
biclique_15,MNIST_vae,7.592204538965598
biclique_15,MNIST_simclr,37.23276136796922
biclique_15,MNIST_simclr_pca,76.01850959025323
biclique_20,CIFAR_raw,25.375232936115935
biclique_20,CIFAR_vae,26.968283863225953
biclique_20,CIFAR_simclr,50.51766387638636
biclique_20,CIFAR_simclr_pca,72.43554674042389
biclique_20,FMNIST_raw,17.643445012625307
biclique_20,FMNIST_vae,9.221174351405352
biclique_20,FMNIST_simclr,11.084249452268704
biclique_20,FMNIST_simclr_pca,6.603872511535883
biclique_20,MNIST_raw,4.795917706750333
biclique_20,MNIST_vae,4.645079222787172
biclique_20,MNIST_simclr,7.3400609767995775
biclique_20,MNIST_simclr_pca,7.600134421046823
biclique_25,CIFAR_raw,20.84774590032175
biclique_25,CIFAR_vae,16.975872135534882
biclique_25,CIFAR_simclr,27.671358182281256
biclique_25,CIFAR_simclr_pca,11.471764993155375
biclique_25,FMNIST_raw,15.787030975474044
biclique_25,FMNIST_vae,16.430535700451582
biclique_25,FMNIST_simclr,58.91327768159099
