experiment,dataset,time
biclique_2,CIFAR_raw,2.508328688144684
biclique_2,CIFAR_vae,2.667741668224335
biclique_2,CIFAR_simclr,3.7455973625183105
biclique_2,CIFAR_simclr_pca,3.0876145720481873
biclique_2,FMNIST_raw,4.526187837123871
biclique_2,FMNIST_vae,8.39645254611969
biclique_2,FMNIST_simclr,7.906018352508545
biclique_2,FMNIST_simclr_pca,3.334372401237488
biclique_2,MNIST_raw,2.8777934551239013
biclique_2,MNIST_vae,4.54795458316803
biclique_2,MNIST_simclr,3.184864604473114
biclique_2,MNIST_simclr_pca,3.8949862837791445
biclique_4,CIFAR_raw,2.850865030288696
biclique_4,CIFAR_vae,11.205902647972106
biclique_4,CIFAR_simclr,2.5862560510635375
biclique_4,CIFAR_simclr_pca,13.716138112545014
biclique_4,FMNIST_raw,4.593132758140564
biclique_4,FMNIST_vae,3.3597902774810793
biclique_4,FMNIST_simclr,3.7335420846939087
biclique_4,FMNIST_simclr_pca,3.3757198452949524
biclique_4,MNIST_raw,3.2963933110237122
biclique_4,MNIST_vae,2.0913475513458253
biclique_4,MNIST_simclr,4.057775068283081
biclique_4,MNIST_simclr_pca,4.114619612693787
biclique_6,CIFAR_raw,1.782363975048065
biclique_6,CIFAR_vae,2.442950224876404
biclique_6,CIFAR_simclr,8.284420526027679
biclique_6,CIFAR_simclr_pca,2.4031137943267824
biclique_6,FMNIST_raw,2.5196596145629884
biclique_6,FMNIST_vae,3.26308878660202
biclique_6,FMNIST_simclr,3.935180675983429
biclique_6,FMNIST_simclr_pca,4.012145328521728
biclique_6,MNIST_raw,3.3116982102394106
biclique_6,MNIST_vae,2.434830057621002
biclique_6,MNIST_simclr,13.86165293455124
biclique_6,MNIST_simclr_pca,3.9401518225669863
biclique_8,CIFAR_raw,2.6454821467399596
biclique_8,CIFAR_vae,12.493879783153535
biclique_8,CIFAR_simclr,16.17339779138565
biclique_8,CIFAR_simclr_pca,3.1769553303718565
biclique_8,FMNIST_raw,3.927187180519104
biclique_8,FMNIST_vae,3.4512873530387878
biclique_8,FMNIST_simclr,4.908186376094818
biclique_8,FMNIST_simclr_pca,4.629948055744171
biclique_8,MNIST_raw,2.60005898475647
biclique_8,MNIST_vae,2.2682260513305663
biclique_8,MNIST_simclr,4.567484796047211
biclique_8,MNIST_simclr_pca,5.097145652770996
biclique_10,CIFAR_raw,5.7553274750709535
biclique_10,CIFAR_vae,8.91504454612732
biclique_10,CIFAR_simclr,2.6399446725845337
biclique_10,CIFAR_simclr_pca,2.6265174627304075
biclique_10,FMNIST_raw,2.595020794868469
biclique_10,FMNIST_vae,3.24706312417984
biclique_10,FMNIST_simclr,3.6767099499702454
biclique_10,FMNIST_simclr_pca,4.08484377861023
biclique_10,MNIST_raw,3.7937674164772033
biclique_10,MNIST_vae,5.387932097911834
biclique_10,MNIST_simclr,24.49961349964142
biclique_10,MNIST_simclr_pca,6.840114343166351
biclique_12,CIFAR_raw,6.692034292221069
biclique_12,CIFAR_vae,8.116283965110778
biclique_12,CIFAR_simclr,2.115548384189606
biclique_12,CIFAR_simclr_pca,4.362137877941132
biclique_12,FMNIST_raw,5.41305787563324
biclique_12,FMNIST_vae,3.492678475379944
biclique_12,FMNIST_simclr,3.5271623492240907
biclique_12,FMNIST_simclr_pca,2.7438992977142336
biclique_12,MNIST_raw,2.878248691558838
biclique_12,MNIST_vae,1.8215462565422058
biclique_12,MNIST_simclr,5.594552969932556
biclique_12,MNIST_simclr_pca,4.002887558937073
biclique_14,CIFAR_raw,3.018472397327423
biclique_14,CIFAR_vae,22.52750074863434
biclique_14,CIFAR_simclr,8.290926945209502
biclique_14,CIFAR_simclr_pca,2.482120668888092
biclique_14,FMNIST_raw,2.072078287601471
biclique_14,FMNIST_vae,3.8475335121154783
biclique_14,FMNIST_simclr,3.315035009384155
biclique_14,FMNIST_simclr_pca,3.3285545706748962
biclique_14,MNIST_raw,2.9729551911354064
biclique_14,MNIST_vae,1.913357925415039
biclique_14,MNIST_simclr,4.7015295147895815
biclique_14,MNIST_simclr_pca,16.198879623413085
biclique_16,CIFAR_raw,11.905980205535888
biclique_16,CIFAR_vae,2.085828149318695
biclique_16,CIFAR_simclr,12.085414242744445
biclique_16,CIFAR_simclr_pca,10.031015765666961
biclique_16,FMNIST_raw,23.31624983549118
biclique_16,FMNIST_vae,3.024711310863495
biclique_16,FMNIST_simclr,3.108448016643524
biclique_16,FMNIST_simclr_pca,2.6739012360572816
