dataset,avg_degree,edge_density,n_connected_components,largest_component_size,neighbourhood_purity,graph_build_time,eigensolve_time,k,method,r
iris,1.5345976381872557,0.087248322147651,1,150,0.902744681846075,,0.003222999999707099,5.0,knn,
wine,0.6052747964859009,0.07814384561670792,1,178,0.8982111546556645,,0.0015901249971648213,5.0,knn,
seeds,1.1860730648040771,0.06233766233766234,1,210,0.8716606140677349,,0.0024034579982981086,5.0,knn,
breast_cancer,0.4806908369064331,0.026467239288101192,1,569,0.9262882673624889,,0.007601707999128848,5.0,knn,
mnist,0.37339451909065247,0.007221110555277639,1,2000,0.7674568853280858,,0.0212522080000781,5.0,knn,
iris,1.5345976381872557,0.087248322147651,1,150,0.902744681846075,,0.003222999999707099,10.0,knn,
wine,0.6052747964859009,0.07814384561670792,1,178,0.8982111546556645,,0.0015901249971648213,10.0,knn,
seeds,1.1860730648040771,0.06233766233766234,1,210,0.8716606140677349,,0.0024034579982981086,10.0,knn,
breast_cancer,0.4806908369064331,0.026467239288101192,1,569,0.9262882673624889,,0.007601707999128848,10.0,knn,
mnist,0.37339451909065247,0.007221110555277639,1,2000,0.7674568853280858,,0.0212522080000781,10.0,knn,
iris,2.6144490792033186,0.12769574944071588,1,150,0.8858487266008742,,0.0023729999993520323,15.0,knn,
wine,0.9773604273796082,0.11439090966799975,1,178,0.8847744102859648,,0.0012800410004274454,15.0,knn,
seeds,1.9420340061187744,0.09204830257461837,1,210,0.8618236562715104,,0.0017221249981957953,15.0,knn,
breast_cancer,0.7656319737434387,0.03911606722938687,1,569,0.918702970695543,,0.0037465000023075845,15.0,knn,
mnist,0.5857131481170654,0.010719859929964982,1,2000,0.7325073130550743,,0.020000791999336798,15.0,knn,
iris,3.8775883372300064,0.16939597315436242,1,150,0.8632287534702487,,0.001667041997279739,20.0,knn,
wine,1.3818724155426025,0.15171713324446137,1,178,0.8807384188916617,,0.0011135830027342308,20.0,knn,
seeds,2.7600507736206055,0.12216905901116427,1,210,0.8580288020066472,,0.0016564999968977645,20.0,knn,
breast_cancer,1.0750257968902588,0.0519196019703458,1,569,0.9132271726439373,,0.003255415998864919,20.0,knn,
mnist,0.8042436242103577,0.0141935967983992,1,2000,0.7046408896516534,,0.019096916999842506,20.0,knn,
iris,6.46493842125381,0.2513646532438479,1,150,0.8232643535608406,,0.0011218330000701826,30.0,knn,
