dataset,k,mean,std
iris,5,55.000000000000036,3.3333333333333335
wine,5,94.61235955056178,0.27770284855265154
seeds,5,93.03809523809531,0.232300824387883
breast_cancer,5,93.71880492091401,0.26153513027180453
mnist,5,60.93300000000003,3.1513923490060294
iris,10,55.00000000000003,3.333333333333333
wine,10,94.62359550561796,0.27953362469452386
seeds,10,93.07619047619052,0.23852774569620186
breast_cancer,10,93.8084358523727,0.25700455606488737
mnist,10,60.8855,3.10531716527792
iris,15,55.28000000000004,4.331576955631622
wine,15,94.6011235955056,0.27539726404505993
seeds,15,93.04761904761908,0.23445998281777228
breast_cancer,15,93.75922671353264,0.26257685800837566
mnist,15,60.46950000000002,3.0292754659299046
iris,20,54.6666666666667,1.4282446375932695e-14
wine,20,94.58426966292133,0.271021433328332
seeds,20,93.08095238095243,0.23886359906980126
breast_cancer,20,93.76977152899839,0.2600457074909358
mnist,20,61.232,3.438636093252407
iris,30,55.000000000000036,3.3333333333333335
wine,30,94.6011235955056,0.2753972640450599
seeds,30,93.06190476190478,0.2369380247410637
breast_cancer,30,93.73637961335692,0.26260656093694534
mnist,30,60.83349999999999,2.6220900657931856
