,dataset,lambda,mean,std,sem,ci,lower,upper
0,iris,0.1,73.20000000000002,3.4871191548325404,1.1027239001672182,2.1880434555455626,71.01195654445445,75.38804345554558
1,wine,0.1,94.49438202247192,0.5504471332097056,0.174066667245278,0.34538603184070177,94.14899599063122,94.83976805431263
2,seeds,0.1,92.7619047619048,1.038924963298638,0.3285369202030536,0.6518885262633544,92.11001623564145,93.41379328816815
3,breast_cancer,0.1,92.89982425307558,0.5342243990710271,0.16893658826991861,0.3352068421752154,92.56461741090037,93.23503109525079
4,mnist,0.1,58.94500000000001,1.5263436703442632,0.48267224904690725,0.957726458581694,57.98727354141831,59.902726458581704
5,iris,0.2,65.80000000000001,7.030410135025319,2.2232108911811923,4.411332737060447,61.38866726293956,70.21133273706046
6,wine,0.2,94.7191011235955,0.5148961455006589,0.16282445782235408,0.3230790493313255,94.39602207426417,95.04218017292682
7,seeds,0.2,92.90476190476193,0.4492371967645997,0.142061275144536,0.28188039029472745,92.6228815144672,93.18664229505666
8,breast_cancer,0.2,92.75922671353251,0.5923479629649462,0.18731687303302957,0.3716773147757369,92.38754939875678,93.13090402830825
9,mnist,0.2,59.91,2.9094501198680116,0.9200489117432826,1.8255766468981374,58.08442335310186,61.73557664689813
10,iris,0.3,58.266666666666666,6.402777175222921,2.024735922424344,4.017515339602953,54.249151327063714,62.28418200626962
11,wine,0.3,94.38202247191008,0.5617977528089909,0.17765604832406692,0.3525081426226593,94.02951432928742,94.73453061453273
12,seeds,0.3,92.76190476190476,0.5553287518900307,0.17561037061510326,0.34844907423521015,92.41345568766955,93.11035383613996
13,breast_cancer,0.3,93.60281195079088,0.8362303868801666,0.2644392671185112,0.5247048764610824,93.0781070743298,94.12751682725197
14,mnist,0.3,60.55999999999999,2.7841336174831826,0.8804203541490844,1.746944991155891,58.813055008844096,62.30694499115588
15,iris,0.4,54.866666666666674,0.6,0.18973665961010275,0.3764786963209987,54.49018797034567,55.243145362987676
16,wine,0.4,94.5505617977528,0.5056179775280927,0.1598904434916605,0.31725732836039394,94.23330446939241,94.8678191261132
17,seeds,0.4,92.66666666666669,0.609821355945987,0.1928424450601584,0.38264124845874814,92.28402541820793,93.04930791512544
18,breast_cancer,0.4,93.04042179261864,0.6678383128295284,0.21118901772653592,0.41904482894546025,92.62137696367319,93.4594666215641
19,mnist,0.4,59.93000000000001,1.2081390648431145,0.3820471175130098,0.7580643668443438,59.17193563315566,60.68806436684435
20,iris,0.5,54.66666666666667,7.105427357601002e-15,2.2469334198890887e-15,4.458403380655306e-15,54.666666666666664,54.66666666666668
21,wine,0.5,94.26966292134831,0.7016851683593714,0.22189233323743282,0.4402825290195277,93.82938039232879,94.70994545036784
22,seeds,0.5,92.57142857142858,0.4364357804719872,0.13801311186847162,0.27384795609988555,92.2975806153287,92.84527652752847
23,breast_cancer,0.5,92.7768014059754,0.3375988174393432,0.1067581198487698,0.21183127111512462,92.56497013486027,92.98863267709054
24,mnist,0.5,60.989999999999995,3.581954773583832,1.1327135560237638,2.247549439066032,58.74245056093396,63.23754943906603
25,iris,0.6,54.866666666666674,0.6000000000000001,0.18973665961010278,0.37647869632099873,54.49018797034567,55.243145362987676
26,wine,0.6,94.4943820224719,0.4204109423341542,0.13294561310336325,0.26379293914840823,94.2305890833235,94.7581749616203
27,seeds,0.6,92.2857142857143,1.1818736805705554,0.37374127372092464,0.7415837707955052,91.5441305149188,93.0272980565098
28,breast_cancer,0.6,93.14586994727593,0.7538703194912956,0.23839472699913225,0.47302685846196285,92.67284308881396,93.61889680573789
29,mnist,0.6,61.3,2.9211299183706294,0.9237423883312922,1.8329053057540663,59.46709469424593,63.132905305754065
30,iris,0.7,58.53333333333333,8.52082416462424,2.694521190201413,5.346514621796994,53.18681871153634,63.87984795513032
31,wine,0.7,94.6067415730337,0.2752235666048567,0.08703333362264022,0.17269301592035333,94.43404855711334,94.77943458895406
32,seeds,0.7,92.7619047619048,1.060526545300955,0.33536794022207583,0.6654427519811934,92.09646200992361,93.42734751388599
33,breast_cancer,0.7,93.2688927943761,0.6578195877755005,0.20802081868436376,0.41275843470022866,92.85613435967588,93.68165122907632
34,mnist,0.7,60.164999999999985,1.4918193590378142,0.471754703209199,0.9360636790616402,59.228936320938345,61.101063679061625
35,iris,0.8,54.66666666666667,7.105427357601002e-15,2.2469334198890887e-15,4.458403380655306e-15,54.666666666666664,54.66666666666668
36,wine,0.8,94.6067415730337,0.4494382022471946,0.14212483865925413,0.2820065140981286,94.32473505893557,94.88874808713183
37,seeds,0.8,92.80952380952382,0.4971574528052656,0.15721499065923067,0.3119486494973247,92.4975751600265,93.12147245902115
38,breast_cancer,0.8,93.25131810193322,0.7748825196853669,0.245039368125602,0.4862112680217959,92.76510683391143,93.73752936995501
39,mnist,0.8,60.225,1.7165736220739258,0.5428282417118694,1.0770889989623438,59.147911001037656,61.30208899896235
40,iris,0.9,54.66666666666667,7.105427357601002e-15,2.2469334198890887e-15,4.458403380655306e-15,54.666666666666664,54.66666666666668
41,wine,0.9,94.49438202247192,0.5504471332097056,0.174066667245278,0.34538603184070177,94.14899599063122,94.83976805431263
42,seeds,0.9,92.61904761904763,0.4390259265377592,0.138832187972508,0.2754731807900902,92.34357443825755,92.89452079983772
43,breast_cancer,0.9,93.1634446397188,0.6872131738494636,0.2173158867437567,0.43120186630910307,92.7322427734097,93.59464650602791
44,mnist,0.9,59.845000000000006,1.037653603087272,0.3281348808036107,0.6510907928718054,59.1939092071282,60.49609079287181
45,iris,1.0,57.13333333333334,5.30031445608026,1.676106599633012,3.3257591275273994,53.80757420580594,60.45909246086074
46,wine,1.0,94.6629213483146,0.4529358285561016,0.1432308852132815,0.2842011504197875,94.37872019789481,94.94712249873439
47,seeds,1.0,92.23809523809526,0.9535706854524172,0.3015455275997627,0.5983317475150786,91.63976349058018,92.83642698561033
48,breast_cancer,1.0,93.33919156414764,0.50601687342313,0.16001658544942143,0.31750762137127964,93.02168394277636,93.65669918551892
49,mnist,1.0,60.065,1.3840249275211751,0.43766711094163724,0.8684265006482279,59.19657349935177,60.933426500648224
50,iris,1.1,54.8,0.4000000000000028,0.12649110640673605,0.25098579754733424,54.54901420245266,55.050985797547334
51,wine,1.1,94.49438202247192,0.4897639262405275,0.15487695227067738,0.30730947409347925,94.18707254837844,94.80169149656541
52,seeds,1.1,92.0,1.3768411709334238,0.4353954076442839,0.8639189484568213,91.13608105154317,92.86391894845683
53,breast_cancer,1.1,93.32161687170476,0.6528708478385521,0.20645588970950424,0.4096532761004053,92.91196359560436,93.73127014780516
54,mnist,1.1,59.355,0.2573421846491554,0.08137874415349503,0.16147308364185292,59.193526916358145,59.51647308364185
55,iris,1.2,54.66666666666667,7.105427357601002e-15,2.2469334198890887e-15,4.458403380655306e-15,54.666666666666664,54.66666666666668
56,wine,1.2,94.6067415730337,0.4494382022471943,0.14212483865925402,0.2820065140981284,94.32473505893557,94.88874808713183
57,seeds,1.2,91.85714285714286,1.1556820094772944,0.3654587400828549,0.7251494271494063,91.13199342999346,92.58229228429227
58,breast_cancer,1.2,93.47978910369068,0.8590052309209121,0.271641305170898,0.538995282450039,92.94079382124063,94.01878438614072
59,mnist,1.2,61.43000000000001,3.2576218319504147,1.0301504744453587,2.044042033999193,59.38595796600082,63.4740420339992
60,iris,1.3,54.866666666666674,0.6,0.18973665961010275,0.3764786963209987,54.49018797034567,55.243145362987676
61,wine,1.3,94.49438202247192,0.420410942334153,0.13294561310336286,0.26379293914840746,94.23058908332352,94.75817496162033
62,seeds,1.3,92.61904761904762,1.2463097455526086,0.39411774660111515,0.7820151136963363,91.83703250535129,93.40106273274395
63,breast_cancer,1.3,93.04042179261864,0.4793736976093477,0.15159127348223522,0.3007899745442398,92.7396318180744,93.34121176716289
64,mnist,1.3,59.895,1.556028598708905,0.49205944762802784,0.9763526971335317,58.918647302866475,60.87135269713353
65,iris,1.4,54.66666666666667,7.105427357601002e-15,2.2469334198890887e-15,4.458403380655306e-15,54.666666666666664,54.66666666666668
66,wine,1.4,94.38202247191012,0.4351666681131957,0.13761178330242663,0.2730516331560144,94.1089708387541,94.65507410506613
67,seeds,1.4,92.57142857142858,1.3333333333333313,0.42163702135578324,0.8366193251577736,91.73480924627081,93.40804789658635
68,breast_cancer,1.4,93.39191564147627,0.7339407036141,0.232092429092713,0.46052173212258807,92.93139390935369,93.85243737359886
69,mnist,1.4,59.14,0.4205948168962611,0.13300375934536565,0.2639083139074559,58.87609168609254,59.40390831390746
70,iris,1.5,55.733333333333334,3.1999999999999993,1.011928851253881,2.0078863803786593,53.72544695295468,57.74121971371199
71,wine,1.5,94.26966292134831,0.6050746974308439,0.1913414198418699,0.37966288877597804,93.89000003257233,94.6493258101243
72,seeds,1.5,92.3809523809524,1.1857047236179736,0.374952755905324,0.7439876142822412,91.63696476667015,93.12493999523464
73,breast_cancer,1.5,93.19859402460456,0.5156907118144575,0.16307572175271884,0.32357761148125797,92.8750164131233,93.52217163608582
74,mnist,1.5,62.154999999999994,3.943821116632954,1.2471457412828704,2.4746077208553334,59.68039227914466,64.62960772085533
75,iris,1.6,54.66666666666667,7.105427357601002e-15,2.2469334198890887e-15,4.458403380655306e-15,54.666666666666664,54.66666666666668
76,wine,1.6,94.10112359550564,0.2808988764044926,0.08882802416203257,0.1762540713113279,93.9248695241943,94.27737766681697
77,seeds,1.6,92.14285714285715,0.8844845533812716,0.27969857439216017,0.5549826526217365,91.58787449023542,92.69783979547888
78,breast_cancer,1.6,93.4622144112478,0.5376821982698934,0.1700300403859109,0.33737648839943035,93.12483792284837,93.79959089964723
79,mnist,1.6,59.96,1.9806312125178671,0.6263305836377461,1.2427757613023425,58.71722423869766,61.20277576130234
80,iris,1.7,57.53333333333334,8.600000000000003,2.719558787744807,5.39619464726765,52.13713868606569,62.92952798060099
81,wine,1.7,94.71910112359552,0.4494382022471943,0.14212483865925402,0.2820065140981284,94.4370946094974,95.00110763769365
82,seeds,1.7,91.28571428571428,1.677515709886526,0.5304770453955662,1.0525815458601233,90.23313273985416,92.3382958315744
83,breast_cancer,1.7,93.32161687170476,0.8716763984279274,0.27564828016446663,0.5469459901565493,92.77467088154822,93.8685628618613
84,mnist,1.7,59.24000000000001,1.1248999955551608,0.3557246125867594,0.7058348063635069,58.534165193636504,59.945834806363514
85,iris,1.8,54.866666666666674,0.6,0.18973665961010275,0.3764786963209987,54.49018797034567,55.243145362987676
86,wine,1.8,94.21348314606742,0.4387780716801511,0.13875380938459014,0.2753176606673083,93.9381654854001,94.48880080673473
87,seeds,1.8,90.71428571428572,2.3059619072006172,0.729209182433978,1.4469092209812868,89.26737649330444,92.161194935267
88,breast_cancer,1.8,93.2688927943761,0.5831514946585995,0.1844086944052689,0.36590685744451895,92.90298593693159,93.63479965182061
89,mnist,1.8,59.93000000000001,2.5837182508934675,0.8170434504969731,1.6211914645952394,58.308808535404765,61.55119146459525
90,iris,1.9,55.733333333333334,3.1999999999999993,1.011928851253881,2.0078863803786593,53.72544695295468,57.74121971371199
91,wine,1.9,93.98876404494382,0.4387780716801464,0.13875380938458867,0.2753176606673054,93.71344638427651,94.26408170561113
92,seeds,1.9,90.0952380952381,2.311364018954588,0.7309174801657096,1.4502988542988122,88.6449392409393,91.54553694953691
93,breast_cancer,1.9,93.19859402460456,0.5275336035080403,0.16682077293615993,0.3310086055237094,92.86758541908085,93.52960263012827
94,mnist,1.9,59.5,2.40291489653712,0.7598684096605147,1.5077437793643373,57.99225622063566,61.00774377936434
95,iris,2.0,54.66666666666667,7.105427357601002e-15,2.2469334198890887e-15,4.458403380655306e-15,54.666666666666664,54.66666666666668
