experiment,dataset,time
adaptive_k_15,CIFAR_vae,18.53878927929327
adaptive_k_5,CIFAR_vae,21.579545788830146
adaptive_k_10,CIFAR_simclr_pca,12.884511266611517
adaptive_k_20,CIFAR_simclr_pca,14.203118958957493
adaptive_k_5,CIFAR_simclr_pca,15.29004990942776
adaptive_k_50,CIFAR_vae,25.50317239694297
adaptive_k_15,CIFAR_simclr_pca,14.959915460674091
adaptive_k_25,CIFAR_vae,25.79034433855675
adaptive_k_20,CIFAR_vae,25.87309169103392
adaptive_k_25,CIFAR_simclr_pca,15.475650919377804
adaptive_k_50,CIFAR_simclr_pca,15.16183799168095
adaptive_k_10,CIFAR_vae,29.844466497218235
adaptive_k_100,CIFAR_simclr_pca,16.3381175445579
adaptive_k_100,CIFAR_vae,29.86365667389705
adaptive_k_150,CIFAR_vae,30.166368129272016
adaptive_k_150,CIFAR_simclr_pca,18.310948352133856
adaptive_k_300,CIFAR_vae,34.6888623460196
adaptive_k_200,CIFAR_simclr_pca,23.57321222836152
adaptive_k_250,CIFAR_vae,38.2315953396447
adaptive_k_250,CIFAR_simclr_pca,26.782347134770827
adaptive_k_200,CIFAR_vae,40.45145613644272
adaptive_k_25,FMNIST_vae,18.082004562066867
adaptive_k_300,CIFAR_simclr_pca,29.839749413738023
adaptive_k_5,FMNIST_vae,19.29107344684191
adaptive_k_5,CIFAR_simclr,42.31753469108604
adaptive_k_20,FMNIST_vae,19.55173398253508
adaptive_k_10,FMNIST_vae,18.657079928927125
adaptive_k_15,FMNIST_vae,20.324613594189287
adaptive_k_50,FMNIST_vae,20.687806830853223
adaptive_k_100,FMNIST_vae,21.526781574077905
adaptive_k_500,CIFAR_simclr_pca,32.61564931258559
adaptive_k_15,FMNIST_simclr_pca,14.972616609670222
adaptive_k_10,CIFAR_simclr,48.11156470898539
adaptive_k_400,CIFAR_simclr_pca,35.81430443003774
adaptive_k_20,CIFAR_simclr,49.234369816947726
adaptive_k_100,CIFAR_simclr,48.79076261823066
adaptive_k_25,CIFAR_simclr,49.82108383862302
adaptive_k_150,FMNIST_vae,27.018578919311985
adaptive_k_5,FMNIST_simclr_pca,18.52368385136128
adaptive_k_450,CIFAR_simclr_pca,37.52308562050573
adaptive_k_15,CIFAR_simclr,49.36699231090955
adaptive_k_20,FMNIST_simclr_pca,18.366190274972467
adaptive_k_450,CIFAR_vae,53.434810903044415
adaptive_k_10,FMNIST_simclr_pca,18.03242635684088
adaptive_k_350,CIFAR_vae,52.85753996747546
adaptive_k_400,CIFAR_vae,54.22047343410552
adaptive_k_350,CIFAR_simclr_pca,40.72578267687932
adaptive_k_50,CIFAR_simclr,53.22957649574615
adaptive_k_500,CIFAR_vae,54.64936134400777
adaptive_k_200,FMNIST_vae,30.026331091616303
adaptive_k_50,FMNIST_simclr_pca,18.92033182564192
adaptive_k_100,FMNIST_simclr_pca,19.10523242302239
adaptive_k_300,FMNIST_vae,30.57639988764189
adaptive_k_250,FMNIST_vae,34.366840310748664
adaptive_k_150,FMNIST_simclr_pca,24.51987184884958
adaptive_k_20,MNIST_vae,14.934685418540612
adaptive_k_25,MNIST_vae,17.206423269677906
adaptive_k_10,MNIST_vae,18.85844951307401
adaptive_k_5,MNIST_vae,19.479278774168343
adaptive_k_15,MNIST_vae,19.95070816586725
adaptive_k_150,CIFAR_simclr,65.35490007732064
adaptive_k_200,FMNIST_simclr_pca,29.65897545402869
adaptive_k_350,FMNIST_vae,43.06357010633685
adaptive_k_50,MNIST_vae,20.830241938382382
adaptive_k_100,MNIST_vae,21.44113844608888
adaptive_k_5,MNIST_simclr_pca,16.01207459378056
adaptive_k_450,FMNIST_vae,46.46366741492413
adaptive_k_10,MNIST_simclr_pca,16.667184641379862
adaptive_k_250,FMNIST_simclr_pca,33.45506658062339
adaptive_k_15,MNIST_simclr_pca,17.476408465392886
adaptive_k_500,FMNIST_vae,48.3811883074604
adaptive_k_25,MNIST_simclr_pca,15.594106370024384
adaptive_k_300,FMNIST_simclr_pca,35.40884621277451
adaptive_k_400,FMNIST_vae,50.058609963385386
adaptive_k_20,MNIST_simclr_pca,16.602651726417243
adaptive_k_150,MNIST_vae,28.734909280212594
adaptive_k_50,MNIST_simclr_pca,18.26176274572499
adaptive_k_250,CIFAR_simclr,74.27076547682286
adaptive_k_20,FMNIST_simclr,52.80909601345658
adaptive_k_200,MNIST_vae,30.863727763528004
adaptive_k_100,MNIST_simclr_pca,19.244751606015488
adaptive_k_250,MNIST_vae,32.6275140168611
adaptive_k_300,MNIST_vae,32.40041101128794
adaptive_k_15,FMNIST_simclr,56.49810791636817
adaptive_k_50,FMNIST_simclr,56.05610667153262
adaptive_k_150,MNIST_simclr_pca,21.0391214666795
adaptive_k_25,FMNIST_simclr,57.29998686254024
adaptive_k_10,FMNIST_simclr,58.24313047590665
adaptive_k_450,FMNIST_simclr_pca,43.60338441357017
adaptive_k_350,FMNIST_simclr_pca,45.19063014258631
adaptive_k_5,FMNIST_simclr,58.30369482312352
adaptive_k_15,FMNIST_raw,69.78705943602137
adaptive_k_300,CIFAR_simclr,85.34819622566924
adaptive_k_50,FMNIST_raw,71.44367422375828
adaptive_k_5,FMNIST_raw,74.41777045716532
adaptive_k_200,MNIST_simclr_pca,27.52361261208541
adaptive_k_100,FMNIST_simclr,64.77982084796764
adaptive_k_350,MNIST_vae,42.84296351990663
adaptive_k_10,FMNIST_raw,75.90086709124968
adaptive_k_150,FMNIST_simclr,65.81190787625499
adaptive_k_500,FMNIST_simclr_pca,52.181298355851325
adaptive_k_400,FMNIST_simclr_pca,52.66463615230285
adaptive_k_100,FMNIST_raw,74.23964613606222
adaptive_k_15,MNIST_simclr,45.22179148484022
adaptive_k_250,MNIST_simclr_pca,33.93925015810877
adaptive_k_300,MNIST_simclr_pca,32.528712197113784
adaptive_k_200,CIFAR_simclr,95.29826517570764
adaptive_k_20,FMNIST_raw,81.89249608165585
adaptive_k_25,FMNIST_raw,82.0424648240488
adaptive_k_20,MNIST_simclr,49.72673331275583
