experiment,dataset,time
biclique_k_5,CIFAR_vae,15.37380478668958
biclique_k_10,CIFAR_vae,17.865116484146565
biclique_k_15,CIFAR_vae,18.998345083659515
biclique_k_25,CIFAR_vae,19.021982147227973
biclique_k_5,CIFAR_simclr_pca,12.36388128593564
biclique_k_20,CIFAR_vae,19.826804436529056
biclique_k_10,CIFAR_simclr_pca,13.045326151866464
biclique_k_15,CIFAR_simclr_pca,13.24343468979001
biclique_k_20,CIFAR_simclr_pca,15.440200710250064
biclique_k_25,CIFAR_simclr_pca,15.593356556687503
biclique_k_50,CIFAR_vae,27.182312966352328
biclique_k_50,CIFAR_simclr_pca,20.015171714285387
biclique_k_100,CIFAR_simclr_pca,22.84512983758934
biclique_k_100,CIFAR_vae,33.78037863217294
biclique_k_5,FMNIST_vae,16.439745513964443
biclique_k_20,FMNIST_vae,17.72616987737827
biclique_k_15,FMNIST_vae,18.144154272684823
biclique_k_10,FMNIST_vae,18.305088892392813
biclique_k_5,CIFAR_simclr,36.29900323337876
biclique_k_10,CIFAR_simclr,40.97153099089861
biclique_k_15,CIFAR_simclr,41.67935162983835
biclique_k_150,CIFAR_simclr_pca,33.62161431978457
biclique_k_25,FMNIST_vae,22.34049704846926
biclique_k_150,CIFAR_vae,46.30901729970239
biclique_k_20,CIFAR_simclr,44.22048551928252
biclique_k_50,FMNIST_vae,26.348255093926564
biclique_k_25,CIFAR_simclr,46.77524325520732
biclique_k_20,FMNIST_simclr_pca,15.717892592111603
biclique_k_15,FMNIST_simclr_pca,16.469511148696764
biclique_k_10,FMNIST_simclr_pca,17.125911056799815
biclique_k_25,FMNIST_simclr_pca,17.80172766654752
biclique_k_250,CIFAR_simclr_pca,41.96730980488472
biclique_k_5,FMNIST_simclr_pca,19.13536166629754
biclique_k_100,FMNIST_vae,32.06587655683048
biclique_k_50,FMNIST_simclr_pca,21.37268591588363
biclique_k_50,CIFAR_simclr,54.27873781514354
biclique_k_300,CIFAR_simclr_pca,47.2779766666051
biclique_k_5,MNIST_vae,15.036884117797015
biclique_k_10,MNIST_vae,15.063973983358592
biclique_k_25,MNIST_vae,13.877775925146416
biclique_k_200,CIFAR_vae,60.64758749857545
biclique_k_15,MNIST_vae,16.213241512384265
biclique_k_5,FMNIST_simclr,36.22611768933013
biclique_k_100,FMNIST_simclr_pca,29.442488672900947
biclique_k_350,CIFAR_simclr_pca,54.38486182026565
biclique_k_150,FMNIST_vae,42.71750710660592
biclique_k_250,CIFAR_vae,65.69917610733769
biclique_k_20,MNIST_vae,20.01277931190096
biclique_k_50,MNIST_vae,20.63810841852799
biclique_k_450,CIFAR_simclr_pca,55.27644367773086
biclique_k_400,CIFAR_simclr_pca,56.18696417842992
biclique_k_300,CIFAR_vae,67.56515722342766
biclique_k_10,FMNIST_raw,53.538732606386766
biclique_k_15,FMNIST_raw,53.625421123811975
biclique_k_200,FMNIST_vae,46.084564753090966
biclique_k_15,MNIST_simclr_pca,13.665833298629147
biclique_k_20,MNIST_simclr_pca,14.109113388219848
biclique_k_150,FMNIST_simclr_pca,38.142025803159925
biclique_k_100,CIFAR_simclr,70.4585417751316
biclique_k_5,FMNIST_raw,59.26387770892121
biclique_k_15,FMNIST_simclr,46.22750943242572
biclique_k_10,MNIST_simclr_pca,16.021770448517053
biclique_k_10,FMNIST_simclr,47.36999552761205
biclique_k_100,MNIST_vae,27.45922625573352
biclique_k_500,CIFAR_simclr_pca,61.64853167879395
biclique_k_25,MNIST_simclr_pca,18.223025084109977
biclique_k_5,MNIST_simclr_pca,20.09545496054925
biclique_k_50,MNIST_simclr_pca,21.921463394789026
biclique_k_25,FMNIST_simclr,52.99608733291738
biclique_k_250,FMNIST_simclr_pca,46.68760072083212
biclique_k_20,FMNIST_raw,67.09430743674747
biclique_k_200,FMNIST_simclr_pca,48.21267080417834
biclique_k_350,CIFAR_vae,82.62627709215506
biclique_k_250,FMNIST_vae,59.362483228473
biclique_k_150,CIFAR_simclr,80.70000220538117
biclique_k_150,MNIST_vae,38.41875088109635
biclique_k_100,MNIST_simclr_pca,27.273832374699413
biclique_k_400,CIFAR_vae,85.79140992033295
biclique_k_20,FMNIST_simclr,59.00853176020086
biclique_k_50,FMNIST_simclr,59.107900757631285
biclique_k_300,FMNIST_vae,64.90955679929816
biclique_k_10,MNIST_simclr,40.53980270089582
biclique_k_25,FMNIST_raw,75.96318344872445
biclique_k_200,CIFAR_simclr,91.2220384694822
biclique_k_350,FMNIST_simclr_pca,60.46690148795024
biclique_k_300,FMNIST_simclr_pca,60.89625760950148
biclique_k_150,MNIST_simclr_pca,36.62767085280269
biclique_k_200,CIFAR_simclr_pca,85.60288957915269
biclique_k_100,FMNIST_simclr,68.32834647928365
biclique_k_15,MNIST_simclr,45.62888776756823
biclique_k_5,MNIST_simclr,47.25476009433158
biclique_k_25,MNIST_simclr,46.73266779910773
biclique_k_250,MNIST_vae,50.947130522402006
biclique_k_250,MNIST_simclr_pca,39.9458117348142
biclique_k_5,MNIST_raw,63.461999380243945
biclique_k_500,CIFAR_vae,100.984250892736
biclique_k_50,FMNIST_raw,85.93294274900109
biclique_k_400,FMNIST_simclr_pca,66.43761633508839
biclique_k_200,MNIST_vae,54.24691346102394
biclique_k_10,MNIST_raw,66.6110461174231
biclique_k_450,FMNIST_simclr_pca,68.69661707370543
biclique_k_450,FMNIST_vae,81.23964792167767
biclique_k_15,MNIST_raw,68.87327248964459
biclique_k_300,MNIST_vae,57.70408482284285
biclique_k_20,MNIST_simclr,55.95817960916087
biclique_k_25,MNIST_raw,68.64245903444477
biclique_k_450,CIFAR_vae,108.01545257887804
biclique_k_20,MNIST_raw,72.55628681811504
biclique_k_50,MNIST_simclr,62.15635767085477
biclique_k_300,CIFAR_simclr,111.15407139192337
biclique_k_200,MNIST_simclr_pca,57.310803428646174
biclique_k_350,MNIST_vae,68.62682477685622
biclique_k_150,FMNIST_simclr,89.38795661820099
biclique_k_350,MNIST_simclr_pca,58.19451862792484
biclique_k_400,MNIST_vae,71.64168097845278
biclique_k_500,FMNIST_simclr_pca,85.1758490442112
biclique_k_300,MNIST_simclr_pca,62.06988284940832
biclique_k_400,MNIST_simclr_pca,61.89063882140443
biclique_k_250,CIFAR_simclr,124.45660032470713
biclique_k_350,CIFAR_simclr,125.43615134933032
biclique_k_200,FMNIST_simclr,101.79162195780314
biclique_k_50,MNIST_raw,94.9914832071308
biclique_k_100,FMNIST_raw,118.40753108941948
biclique_k_450,MNIST_simclr_pca,76.87870675362646
biclique_k_150,MNIST_simclr,86.12083943507633
biclique_k_500,FMNIST_vae,114.99728261348793
biclique_k_150,FMNIST_raw,124.91344542381354
biclique_k_400,FMNIST_vae,117.19991954245604
biclique_k_500,MNIST_simclr_pca,78.26800154184923
biclique_k_400,CIFAR_simclr,142.35503841482102
biclique_k_250,FMNIST_simclr,116.29406606000848
biclique_k_100,MNIST_simclr,94.14760604492388
biclique_k_200,FMNIST_raw,136.0665792263951
biclique_k_200,MNIST_simclr,102.13558368975296
biclique_k_10,CIFAR_raw,170.5646233219095
biclique_k_350,FMNIST_simclr,129.72924231274985
biclique_k_250,MNIST_simclr,106.59581040642225
biclique_k_450,CIFAR_simclr,158.26141958124936
biclique_k_500,CIFAR_simclr,161.25296844730153
biclique_k_250,FMNIST_raw,150.11672993257642
biclique_k_300,FMNIST_simclr,138.37017060025596
biclique_k_300,FMNIST_raw,159.3813326710742
biclique_k_450,MNIST_vae,128.66384967780672
biclique_k_350,MNIST_simclr,126.50125741558148
biclique_k_350,FMNIST_vae,155.8686511341203
biclique_k_300,MNIST_simclr,128.0090907228645
biclique_k_400,FMNIST_simclr,161.3662627017498
biclique_k_350,FMNIST_raw,180.54007136364467
biclique_k_5,CIFAR_raw,209.12803930987604
biclique_k_400,MNIST_simclr,145.17801628191023
biclique_k_500,MNIST_vae,153.413124782471
biclique_k_150,MNIST_raw,164.23009397042915
biclique_k_200,MNIST_raw,164.9350424663443
biclique_k_25,CIFAR_raw,219.3023874420207
biclique_k_15,CIFAR_raw,220.4437203669548
biclique_k_450,MNIST_simclr,158.30639852243476
biclique_k_400,FMNIST_raw,195.7343759830296
biclique_k_100,MNIST_raw,176.766615525987
biclique_k_450,FMNIST_simclr,191.53551234580576
biclique_k_20,CIFAR_raw,239.49809261653573
biclique_k_500,FMNIST_simclr,199.5684687379748
biclique_k_500,MNIST_simclr,175.99082527274263
