experiment,dataset,time
biclique_r_8,CIFAR_simclr_pca,60.6421131525375
biclique_r_12,CIFAR_simclr_pca,66.39665544422343
biclique_r_10,CIFAR_simclr_pca,70.90706009827554
biclique_r_16,CIFAR_simclr_pca,70.71611437599175
biclique_r_6,CIFAR_simclr_pca,72.81103470244445
biclique_r_14,CIFAR_simclr_pca,74.19438101355918
biclique_r_18,CIFAR_simclr_pca,74.10847848323174
biclique_r_20,CIFAR_simclr_pca,77.12835701935924
biclique_r_4,CIFAR_simclr_pca,89.93346234673635
biclique_r_4,FMNIST_vae,82.12138973292895
biclique_r_16,FMNIST_simclr_pca,77.53056368393824
biclique_r_10,FMNIST_vae,85.42624688150362
biclique_r_6,FMNIST_simclr_pca,84.36953379503451
biclique_r_18,FMNIST_simclr_pca,80.9232433954347
biclique_r_4,FMNIST_simclr_pca,85.91666296015494
biclique_r_10,FMNIST_simclr_pca,86.21293170905672
biclique_r_14,FMNIST_simclr_pca,85.69079515039921
biclique_r_4,CIFAR_vae,106.97778219701722
biclique_r_4,MNIST_simclr_pca,70.852137813624
biclique_r_16,CIFAR_vae,104.30342754689045
biclique_r_12,FMNIST_vae,93.91894494690932
biclique_r_14,FMNIST_vae,93.79867508309891
biclique_r_12,FMNIST_simclr_pca,88.09441443473101
biclique_r_12,MNIST_vae,79.3515908595454
biclique_r_12,CIFAR_vae,108.6784143182449
biclique_r_4,MNIST_vae,83.22435286036692
biclique_r_10,CIFAR_vae,109.44121963433922
biclique_r_20,FMNIST_vae,95.6362100910116
biclique_r_18,FMNIST_vae,95.92629645947368
biclique_r_6,MNIST_vae,83.86231321567669
biclique_r_20,FMNIST_simclr_pca,88.4766483366862
biclique_r_8,FMNIST_vae,97.27742254517972
biclique_r_6,FMNIST_vae,97.74762830545194
biclique_r_10,MNIST_vae,83.41877414152026
biclique_r_16,FMNIST_vae,99.32345350945369
biclique_r_8,CIFAR_vae,113.58887233252636
biclique_r_16,MNIST_vae,86.41613294426352
biclique_r_6,CIFAR_vae,116.71342549758964
biclique_r_14,CIFAR_vae,115.98428369119765
biclique_r_18,MNIST_simclr_pca,80.75291194727644
biclique_r_14,MNIST_vae,89.61266480939463
biclique_r_20,CIFAR_vae,115.57211563535034
biclique_r_8,MNIST_simclr_pca,83.09562770542689
biclique_r_12,MNIST_simclr_pca,82.38628570729867
biclique_r_8,MNIST_vae,94.9084932368342
biclique_r_20,MNIST_vae,90.9388288918417
biclique_r_6,MNIST_simclr_pca,86.59069446470589
biclique_r_18,MNIST_vae,92.6250678868685
biclique_r_10,MNIST_simclr_pca,86.82137946358881
biclique_r_16,MNIST_simclr_pca,86.37780993401073
biclique_r_8,FMNIST_simclr_pca,113.39798383978196
biclique_r_20,MNIST_simclr_pca,106.3414357981272
biclique_r_16,CIFAR_simclr,144.2880035324581
biclique_r_20,CIFAR_simclr,155.83778557870536
biclique_r_8,CIFAR_simclr,160.95548206159845
biclique_r_18,CIFAR_simclr,160.98768631841057
biclique_r_4,CIFAR_simclr,165.07971012522466
biclique_r_12,CIFAR_simclr,167.88676402566955
biclique_r_8,FMNIST_simclr,159.3128441656381
biclique_r_12,FMNIST_simclr,167.6389554121811
biclique_r_14,FMNIST_simclr,168.7581966539845
biclique_r_14,CIFAR_simclr,181.5949917227496
biclique_r_10,CIFAR_simclr,183.09044941107743
biclique_r_4,MNIST_simclr,155.8902275828086
biclique_r_4,FMNIST_simclr,176.08363163326868
biclique_r_10,FMNIST_simclr,176.58703693638554
biclique_r_20,FMNIST_simclr,176.1994640469458
biclique_r_8,MNIST_simclr,161.24985461874866
biclique_r_16,MNIST_simclr,159.94912686852737
biclique_r_12,MNIST_simclr,161.18837286856026
biclique_r_16,FMNIST_simclr,179.1013584508188
biclique_r_6,FMNIST_simclr,180.6238349400368
biclique_r_14,MNIST_simclr,163.2890837514028
biclique_r_20,MNIST_simclr,162.37030548540875
biclique_r_18,FMNIST_simclr,181.96232680371963
biclique_r_18,MNIST_simclr,165.68227792574092
biclique_r_6,MNIST_simclr,168.55754900109022
biclique_r_14,MNIST_simclr_pca,164.79304950455204
biclique_r_10,MNIST_simclr,173.7335506665148
biclique_r_18,CIFAR_vae,203.91695959378964
biclique_r_6,CIFAR_simclr,246.93211074067278
