dataset,k,mean,std
FMNIST_vae,10,52.26511666666668,2.332020148210786
FMNIST_simclr_pca,10,58.03009999999999,2.722659796000723
FMNIST_simclr_pca,20,58.32926666666667,2.92311766938844
FMNIST_vae,25,55.16221666666665,1.9877764658176136
FMNIST_vae,15,54.64553333333334,2.060847268364187
CIFAR_simclr_pca,20,75.91275999999999,2.1720402693590115
CIFAR_simclr_pca,25,76.17364000000002,1.6957695998447355
CIFAR_simclr_pca,15,76.65950000000001,1.4647638724450436
CIFAR_simclr_pca,50,76.38262000000002,1.141184806782987
MNIST_simclr_pca,25,89.15466666666669,7.090977436071679
CIFAR_simclr_pca,10,75.89435999999999,1.9484136283322149
FMNIST_simclr_pca,15,57.49351666666667,3.0597848682014424
MNIST_simclr_pca,15,89.84238333333333,7.103910473100041
FMNIST_simclr_pca,25,58.215116666666674,2.966766646586384
FMNIST_vae,20,54.403983333333336,2.229941868042413
FMNIST_simclr_pca,50,58.112783333333326,3.447226687134396
MNIST_simclr_pca,20,88.75661666666664,6.837765522680184
FMNIST_vae,50,55.4416833333333,1.984913815776546
MNIST_vae,10,89.55600000000004,6.899507525651435
FMNIST_simclr_pca,5,57.908399999999965,2.949399527237407
MNIST_simclr_pca,10,89.21098333333333,7.140934247318276
CIFAR_simclr_pca,5,75.17500000000004,1.4241379033214334
FMNIST_vae,5,51.08056666666667,2.565406488269669
MNIST_simclr_pca,5,89.13781666666665,7.169058917522359
MNIST_simclr_pca,50,88.59493333333332,6.94609145285177
CIFAR_simclr_pca,100,75.97912000000001,2.073221809725923
MNIST_vae,20,87.18443333333333,6.416242935941493
MNIST_vae,15,88.3635666666667,6.7350691082852485
MNIST_vae,5,84.92778333333335,5.93948248516978
MNIST_vae,50,89.8098,6.7954723046211605
FMNIST_vae,100,56.14834999999998,1.6784076932259735
CIFAR_simclr_pca,150,76.42521999999994,1.1205909658422526
MNIST_vae,100,88.08808333333337,6.767128014886768
MNIST_vae,25,88.40436666666663,6.847565517978476
FMNIST_simclr_pca,100,59.43074999999998,4.0787617119628585
MNIST_simclr_pca,100,88.17241666666666,6.834998234293452
CIFAR_vae,10,18.31502,0.4545849473348571
CIFAR_vae,5,11.487999999999998,1.1069892556484964
MNIST_vae,150,88.87951666666665,6.487588345587826
CIFAR_simclr_pca,200,76.17761999999998,1.6404999901791468
CIFAR_vae,15,20.81436,0.436776657902971
FMNIST_vae,150,55.9648,1.7727536690889227
CIFAR_vae,20,22.43948,0.292969143064383
CIFAR_vae,25,27.14428,0.3027610345477178
FMNIST_simclr_pca,150,62.53410000000002,2.61232005561182
CIFAR_simclr_pca,250,76.12758,1.070213432692354
FMNIST_vae,200,56.0032,2.11695100929558
MNIST_simclr_pca,200,88.81728333333332,7.008456875064641
FMNIST_simclr_pca,200,62.95826666666672,2.6596979537885894
CIFAR_vae,50,26.60342000000001,0.5457735716532558
