experiment,dataset,time
knn_10,FMNIST_vae,12.95107920076698
knn_10,FMNIST_simclr_pca,13.18361339182593
knn_20,FMNIST_simclr_pca,13.238011944647878
knn_25,FMNIST_vae,14.293887420063838
knn_15,FMNIST_vae,14.419771715542302
knn_20,CIFAR_simclr_pca,15.27594776790589
knn_25,CIFAR_simclr_pca,15.32665939589031
knn_15,CIFAR_simclr_pca,15.411101079490036
knn_50,CIFAR_simclr_pca,15.575150545844808
knn_25,MNIST_simclr_pca,12.7166197011061
knn_10,CIFAR_simclr_pca,15.795211148727685
knn_15,FMNIST_simclr_pca,14.491101799393071
knn_15,MNIST_simclr_pca,13.040368510400876
knn_25,FMNIST_simclr_pca,14.558113322835416
knn_20,FMNIST_vae,15.422101264819505
knn_50,FMNIST_simclr_pca,14.790750630004332
knn_20,MNIST_simclr_pca,13.545347423832863
knn_50,FMNIST_vae,15.082895710021257
knn_10,MNIST_vae,14.522297313287854
knn_5,FMNIST_simclr_pca,16.068048763908447
knn_10,MNIST_simclr_pca,14.672960198605432
knn_5,CIFAR_simclr_pca,17.896408370416612
knn_5,FMNIST_vae,17.4013173627574
knn_5,MNIST_simclr_pca,15.358762930454686
knn_50,MNIST_simclr_pca,15.36897762154229
knn_100,CIFAR_simclr_pca,18.773452953072265
knn_20,MNIST_vae,16.930818992275746
knn_15,MNIST_vae,17.324592025699094
knn_5,MNIST_vae,17.68156912136823
knn_50,MNIST_vae,17.8652219862584
knn_100,FMNIST_vae,19.838919296711683
knn_150,CIFAR_simclr_pca,21.3664681145642
knn_100,MNIST_vae,18.79633086172864
knn_25,MNIST_vae,21.02197431928478
knn_100,FMNIST_simclr_pca,22.256130258310588
knn_100,MNIST_simclr_pca,21.00987006923184
knn_10,CIFAR_vae,24.138211938804016
knn_5,CIFAR_vae,24.473883100328965
knn_150,MNIST_vae,22.314696213826537
knn_200,CIFAR_simclr_pca,25.67115842876956
knn_15,CIFAR_vae,25.56361653451808
knn_150,FMNIST_vae,25.001237753285096
knn_20,CIFAR_vae,26.69016935613938
knn_25,CIFAR_vae,26.99015376556665
knn_150,FMNIST_simclr_pca,24.21583939067088
knn_250,CIFAR_simclr_pca,28.6535350626614
knn_200,FMNIST_vae,28.910609930139035
knn_200,MNIST_simclr_pca,27.306402200609444
knn_200,FMNIST_simclr_pca,29.619234149511904
knn_50,CIFAR_vae,31.32650128560141
knn_300,CIFAR_simclr_pca,32.114389942009005
knn_150,MNIST_simclr_pca,29.782319397600368
knn_250,MNIST_simclr_pca,30.77456895205192
knn_250,FMNIST_simclr_pca,34.316910677896814
knn_250,FMNIST_vae,36.10704457901418
knn_300,FMNIST_simclr_pca,35.66047797187232
knn_250,MNIST_vae,35.43138315228745
knn_350,CIFAR_simclr_pca,38.137009688550606
knn_400,CIFAR_simclr_pca,38.529066070122646
knn_300,FMNIST_vae,37.8719311823044
knn_300,MNIST_simclr_pca,35.560541823673994
knn_500,CIFAR_simclr_pca,39.25999927081168
knn_450,CIFAR_simclr_pca,39.95220175369643
knn_300,MNIST_vae,38.86407275758684
knn_350,MNIST_simclr_pca,38.14496024203487
knn_20,MNIST_simclr,39.62799934539012
knn_350,FMNIST_vae,41.64380360665732
knn_200,MNIST_vae,41.16547292334959
knn_400,FMNIST_simclr_pca,42.6916320834402
knn_350,FMNIST_simclr_pca,42.89823790620081
knn_15,MNIST_simclr,42.14997433898971
knn_400,FMNIST_vae,45.00878797929734
knn_400,MNIST_simclr_pca,43.32029012531042
knn_20,FMNIST_simclr,45.62683413589373
knn_450,FMNIST_simclr_pca,45.93718402546831
knn_10,MNIST_simclr,45.64217487646267
knn_5,MNIST_simclr,45.71072733785026
knn_15,CIFAR_simclr,48.62409503567032
knn_10,CIFAR_simclr,49.251590630011634
knn_25,MNIST_simclr,46.715760809229685
knn_20,CIFAR_simclr,49.46091449065134
knn_15,FMNIST_simclr,48.45231953509152
knn_5,CIFAR_simclr,49.76962252259254
knn_25,CIFAR_simclr,50.08998383050785
knn_5,FMNIST_simclr,49.12408456626349
knn_450,MNIST_simclr_pca,47.60908976659179
knn_450,MNIST_vae,49.15462829957716
knn_50,CIFAR_simclr,51.56506567650474
knn_500,FMNIST_simclr_pca,50.12148888468742
knn_25,FMNIST_simclr,51.30628903618082
knn_500,MNIST_simclr_pca,47.9405834056437
knn_100,MNIST_simclr,51.539611249882725
knn_450,FMNIST_vae,52.73239050330594
knn_50,MNIST_simclr,51.73624678939581
knn_10,FMNIST_simclr,55.08727698018775
knn_500,FMNIST_vae,56.02070640045218
knn_300,CIFAR_vae,57.080910016354174
knn_100,CIFAR_simclr,58.767951290123165
